buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
25,3,0.32555104311841826,9.62741951797839e-13,0.32555104311841826,9.62741951797839e-13,0.31074593890292856,1.092883876031091e-11,0.358894196023255,2.4421109248071657e-15,-0.684447376563568,1.9687328633339735e-64,-0.6633304026274873,2.8924536044796725e-59,-0.5291131358270159,2.4846810349639134e-34,-0.44546969908088424,1.1618962549098831e-23
25,6,0.18159228377709857,9.466568453481673e-05,0.18159228377709857,9.466568453481673e-05,0.015061846304260891,0.7481180147949034,0.05343831344452018,0.2542584782144153,-0.7860108755450211,4.4098719841118194e-97,-0.7704908665710825,5.111974927044419e-91,-0.6044816457138181,7.223454501579834e-47,-0.4913675664709406,3.7652364009919095e-29
25,12,0.2533281859478047,4.0075246221276226e-08,0.2533281859478047,4.0075246221276226e-08,0.18261768049843718,8.626488143534889e-05,0.2142486327348674,3.812697379926592e-06,-0.6924099646404163,1.698299309114967e-66,-0.660959498823394,1.0356698881967225e-58,-0.483391980474138,3.892395373258594e-28,-0.4182354400876179,8.905327302785545e-21
25,24,0.20120991911935152,1.4642396935403618e-05,0.20120991911935152,1.4642396935403618e-05,0.17139351234087716,0.00023212488715183174,0.2009089198242887,1.5089259780968258e-05,-0.5529781391415093,5.858212014410259e-38,-0.5206056272382953,4.169502611972539e-33,-0.3824549975692504,2.290588710159829e-17,-0.33757391554577215,1.211403782853586e-13
25,36,0.146617900774457,0.0016736940108163624,0.146617900774457,0.0016736940108163624,0.1359607152071583,0.003590288560243997,0.1621314346173616,0.0005022935414824183,-0.44692768868014554,8.003318473732452e-24,-0.42618118025070734,1.3643590306548727e-21,-0.31939155900585386,2.6886486071529755e-12,-0.2723641282079323,3.2430648080877775e-09
50,3,0.30092134202899073,5.09281244091795e-11,0.30092134202899073,5.09281244091795e-11,0.23993044831931812,2.090585775393303e-07,0.29805411628786305,7.894665191364675e-11,-0.6729732557750202,1.4288893114792884e-61,-0.6529533450591025,7.064289091765967e-57,-0.5229533366132383,1.929926270339472e-33,-0.44808695152199507,5.9427239962147705e-24
50,6,0.1379194109123111,0.0031324053494499906,0.1379194109123111,0.0031324053494499906,-0.0692472515663513,0.13939233762936745,-0.019003880931706154,0.6853447936538524,-0.7742180902981037,1.9795781234182638e-92,-0.7567538446494767,4.9003714408884284e-86,-0.5915437681194553,1.771318232885081e-44,-0.4930582701656841,2.2766919000670735e-29
50,12,0.22636844353168387,1.0105926484427457e-06,0.22636844353168387,1.0105926484427457e-06,0.11751394700578768,0.011937133152062922,0.15670401750375432,0.0007750205662888847,-0.670359754585871,6.146984659847768e-61,-0.6389417272893694,8.470373902993874e-54,-0.4820965142098608,5.655721533050357e-28,-0.4273533046985866,1.03016048397513e-21
50,24,0.1774503373371429,0.00013708390668058562,0.1774503373371429,0.00013708390668058562,0.12249445434733953,0.008758507718376109,0.15596076047252466,0.000821572759045179,-0.5245065479269412,1.155508481655185e-33,-0.49728673155850733,6.39004571283139e-30,-0.38775511234941956,7.595733118432472e-18,-0.3457510630616449,2.8067802308077972e-14
50,36,0.12639952414907532,0.006818678571190273,0.12639952414907532,0.006818678571190273,0.08975411728217637,0.055194705870778356,0.12109469446766781,0.009565270295208815,-0.4348080036140287,1.681090467993513e-22,-0.4140916076871668,2.322869967016986e-20,-0.32462478505378684,1.1252089776694348e-12,-0.2784566607229107,1.3901236287849761e-09
